query,label
"iphone pin trâu giá trên 20 triệu","iphone15promax,iphone14pro"
"samsung chụp ảnh đẹp","galaxys23,galaxys24ultra,galaxyzfold5"
"iphone","iphone15promax,iphone14pro,iphone14,iphonese2024"
"android giá rẻ","redminote12,redminote13pro,galaxya54"
"điện thoại chơi game","asusrogphone8,realmegtneo5,oneplus12"
"camera tốt nhất","iphone15promax,googlepixel7,googlepixel7a,vivox90pro"
"pin khỏe nhất","asusrogphone8,redminote12,redminote13pro,opporeno8t"
"màn hình gập","samsunggalaxyzfold5"
"thiết kế độc đáo","nothingphone2"
"điện thoại bền bỉ","nokiaxr30"
"flagship samsung","galaxys23,galaxys24ultra,galaxyzfold5"
"điện thoại mới nhất","samsunggalaxys24ultra,iphone15promax,oneplus12,honormagic6pro"
"giá dưới 10 triệu","redminote12,redminote13pro,galaxya54,nokiaxr30,tecnocamon20premier"
"hiệu năng mạnh nhất","iphone15promax,samsunggalaxys24ultra,oneplus12,asusrogphone8"
"màn hình đẹp","sonyxperia1vi,samsunggalaxys24ultra,iphone15promax"
"sạc nhanh","oneplus12,xiaomi13tpro,vivox90pro,opporeno8t"
"điện thoại sinh viên","redminote12,redminote13pro,galaxya54,googlepixel7a"
"thiết kế cao cấp","iphone15promax,samsunggalaxys24ultra,sonyxperia1vi"
"android tầm trung","opporeno8t,galaxya54,googlepixel7a,motorolaedge40neo"
"điện thoại selfie","infinixzero305g,tecnocamon20premier"
"điện thoại nào có pin trâu nhất?","asusrogphone8,redminote12,redminote13pro,opporeno8t"
"tôi cần điện thoại giá rẻ dưới 5 triệu","redminote12"
"điện thoại tầm trung 5-10 triệu","redminote12,redminote13pro,galaxya54,nokiaxr30,tecnocamon20premier"
"máy nào cao cấp nhất của Apple?","iphone15promax"
"samsung flagship đắt nhất?","samsunggalaxys24ultra"
"điện thoại nào vừa chụp ảnh đẹp vừa pin lâu?","iphone15promax,honormagic6pro,vivox90pro"
"tìm điện thoại chơi game giá dưới 15 triệu","realmegtneo5,redminote13pro"
"máy nào mỏng nhẹ dưới 8mm?","motorolaedge40neo"
"điện thoại có RAM 16GB?","oneplus11,oneplus12,asusrogphone8,realmegtneo5"
"có điện thoại nào sạc nhanh 100W+ không?","oneplus12,xiaomi13tpro,vivox90pro,realmegtneo5"
"tôi muốn mua iphone giá dưới 15 triệu","iphonese2024"
"android flagship giá dưới 20 triệu?","oneplus11,xiaomi13tpro,googlepixel7"
"điện thoại làm bằng vật liệu cao cấp?","iphone15promax,samsunggalaxys24ultra,sonyxperia1vi"
"máy nào có camera zoom xa nhất?","samsunggalaxys24ultra,iphone15promax"
"điện thoại chống nước tốt?","iphone15promax,samsunggalaxys24ultra,sonyxperia1vi"
"có option nào thân thiện môi trường không?","fairphone5"
"tôi cần máy vừa chụp đêm tốt vừa có màn hình 120Hz","iphone15promax,samsunggalaxys24ultra,googlepixel7"
"điện thoại nào mới ra trong 3 tháng gần đây?","sonyxperia1vi,honormagic6pro,tecnocamon20premier"
"máy trả góp 0% lãi suất dưới 10 triệu?","redminote12,redminote13pro,galaxya54"
"điện thoại nào bán chạy nhất?","iphone15promax,redminote13pro,galaxya54"
"tôi là nhiếp ảnh gia, nên chọn máy nào?","iphone15promax,googlepixel7,samsunggalaxys24ultra"
"điện thoại có thời lượng pin trên 2 ngày?","asusrogphone8,redminote12,redminote13pro"
"máy nào có dung lượng lưu trữ tối đa 1TB?","iphone15promax,samsunggalaxys24ultra,samsunggalaxyzfold5,huaweimate60pro"
"điện thoại doanh nhân chuyên nghiệp?","iphone15promax,samsunggalaxys24ultra,sonyxperia1vi"
"tôi cần máy giá 15-20 triệu, chụp ảnh đẹp, pin tốt","oneplus11,honormagic6pro,googlepixel7"
"điện thoại có jack cắm tai nghe 3.5mm?","redminote12,redminote13pro,tecnocamon20premier"
"máy nào màn hình lớn trên 6.7 inch?","iphone15promax,samsunggalaxys24ultra,honormagic6pro"
"điện thoại có giá trị tốt nhất trong tầm giá?","redminote13pro,galaxya54,googlepixel7a"
"tôi muốn nâng cấp từ iPhone 11?","iphone15promax,iphone14pro,iphone14"
"điện thoại Trung Quốc chất lượng cao?","xiaomi13tpro,oneplus12,vivox90pro,honormagic6pro"
"máy nào hỗ trợ stylus?","samsunggalaxys24ultra"
"điện thoại có khả năng quay video 8K?","iphone15promax,samsunggalaxys24ultra,sonyxperia1vi"
"tôi cần máy nhỏ gọn dễ cầm?","iphonese2024,googlepixel7a"
"điện thoại nào có phần mềm tối ưu nhất?","iphone15promax,googlepixel7,googlepixel7a"
"máy android nào giống iPhone nhất?","googlepixel7,googlepixel7a"
"điện thoại chống trầy tốt nhất?","iphone15promax,samsunggalaxys24ultra"
"có máy nào thay thế được laptop không?","samsunggalaxyzfold5,honormagic6pro"
"tôi là streamer nên dùng máy nào?","iphone15promax,asusrogphone8,samsunggalaxys24ultra"
"điện thoại nào có loa ngoài hay nhất?","iphone15promax,sonyxperia1vi,asusrogphone8"
"máy nào chụp selfie đẹp nhất?","googlepixel7,googlepixel7a,infinixzero305g"
"điện thoại có hỗ trợ 5G giá dưới 10 triệu?","redminote13pro,galaxya54,infinixzero305g"
"tôi cần máy vừa tốt cho công việc vừa giải trí?","iphone15promax,samsunggalaxys24ultra,oneplus12"
"điện thoại nào có thời gian hỗ trợ phần mềm lâu nhất?","iphone15promax,googlepixel7,samsunggalaxys24ultra"
"máy nào chụp ảnh thiếu sáng tốt nhất?","iphone15promax,googlepixel7,samsunggalaxys24ultra"
"điện thoại đa nhiệm tốt nhất?","iphone15promax,oneplus12,asusrogphone8"
"tôi muốn máy có khả năng tùy biến cao?","oneplus12,nothingphone2,fairphone5"
"điện thoại nào có cảm biến vân tay tốt nhất?","samsunggalaxys24ultra,oneplus12,googlepixel7"
"máy nào chống bụi bẩn tốt?","iphone15promax,samsunggalaxys24ultra,nokiaxr30"
"điện thoại có khả năng sạc không dây?","iphone15promax,samsunggalaxys24ultra,googlepixel7"
"tôi cần máy chụp ảnh chân dung nghệ thuật?","iphone15promax,googlepixel7,vivox90pro"
"điện thoại nào có khả năng quay video chuyên nghiệp?","iphone15promax,samsunggalaxys24ultra,sonyxperia1vi"
"máy nào có hiệu năng ổn định lâu dài?","iphone15promax,samsunggalaxys24ultra,googlepixel7"
"điện thoại có hỗ trợ eSIM?","iphone15promax,samsunggalaxys24ultra,googlepixel7"
"tôi cần máy có bảo mật tốt nhất?","iphone15promax,googlepixel7,samsunggalaxys24ultra"